

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

252.058  000.151  000.151: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/context.vim/autoload/context.vim
252.465  000.239  000.239: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/context.vim/autoload/context/util.vim
252.957  000.158  000.158: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/context.vim/autoload/context/popup.vim
253.033  000.902: BufEnter autocommands
253.035  000.002: editing files in windows
254.354  000.836  000.836: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-startify/autoload/startify.vim
254.955  000.105  000.105: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline/buflist.vim
256.041  000.642  000.642: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-startify/autoload/startify/fortune.vim
275.475  000.201  000.201: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-startify/syntax/startify.vim
290.873  000.269  000.269: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/syntax/nerdtree.vim
306.523  000.187  000.187: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline/ctrlspace.vim
307.111  000.152  000.152: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline/tabws.vim
307.866  000.167  000.167: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline/builder.vim
333.475  000.200  000.200: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/context.vim/autoload/context/line.vim
333.861  000.191  000.191: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/context.vim/autoload/context/context.vim
340.001  084.014: VimEnter autocommands
340.006  000.005: UIEnter autocommands
340.009  000.002: before starting main loop
370.281  030.273: first screen update
370.289  000.008: --- NVIM STARTED ---
